label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,note,compound,compoundId,expectedRtDiff,ppmDiff,parent,20171030_activated_supe_a_pos,20171030_activated_supe_b_pos,20171030_blank_mid_a_pos,20171030_blank_mid_b_pos,20171030_blank_post_a_pos,20171030_blank_post_b_pos,20171030_hsd1_supe_a_pos,20171030_hsd1_supe_b_pos,20171030_hsd2_supe_a_pos,20171030_hsd2_supe_b_pos,20171030_non_supe_a_pos,20171030_non_supe_b_pos,20171031_buffer_supe_a_pos,20171031_buffer_supe_b_pos
,0,1,7, 314.3049,4.92152,0.8513086,C12 PARENT,Sphingosine-monomethyl(d18:1),Sphingosine-monomethyl(d18:1),-1,1.45643,314.3049,24560.2,43285.06,1476.502,1589.696,1562.174,2134.414,318927,350964.2,100951.1,6950.224,205445.1,33299.08,9138.649,5123.634
,0,2,12, 328.3206,5.275768,0.8510992,C12 PARENT,Sphingosine-dimethyl(d18:1),Sphingosine-dimethyl(d18:1),-1,1.301306,328.3206,195570.9,158019.5,13834.79,6691.486,12763.04,8538.103,1624174,1507736,600641,127944.9,210116.9,188593.3,177242.3,269126
,0,3,10, 302.3049,1.456603,0.8537037,C12 PARENT,Sphingosine-dihydro(d18:0)(Safingol),Sphingosine-dihydro(d18:0)(Safingol),-1,1.514243,302.3049,1.167048e+007,1.142524e+007,39897.03,52260.43,53346.46,70662.83,4104931,5598994,6004586,1395438,9243480,9369396,46655.45,52481.08
,0,4,13, 284.2945,5.541405,0.8163637,C12 PARENT,Sphingosine-3-deoxy(m18:1),Sphingosine-3-deoxy(m18:1),-1,1.180793,284.2945,5137854,3333844,229418.4,249866.3,259605.9,254322.2,5572528,5874164,4188232,1212793,3598952,3636147,3396486,1453699
,0,5,12, 270.2788,4.968492,0.8059312,C12 PARENT,Sphingosine-1-desoxymethyl(m18:1),Sphingosine-1-desoxymethyl(m18:1),-1,1.129113,270.2788,400263,370948.8,31390.8,36592.24,35682.99,35674.35,610601,545910,283237.5,255349.8,351459.9,347839,585280.4,600880.5
,0,6,10, 300.2893,4.551265,0.7757413,C12 PARENT,Sphingosine(d18:1),Sphingosine(d18:1),-1,1.219525,300.2894,65014.12,55901.94,9917.521,9090.784,10840.09,7919.838,528147.8,483943.8,195543.5,43047.05,73409.26,75393.46,51846.88,94707.32
,0,7,10, 316.3205,1.460144,0.8557612,C12 PARENT,Sphingasine-monomethyl(d18:0),Sphingasine-monomethyl(d18:0),-1,1.736579,316.3205,6642450,6919556,8166.36,7324.551,7931.037,5823.857,8941819,7172598,5265446,4036178,6891672,7491044,8320234,8292092
,0,8,11, 330.336,1.465806,0.8570945,C12 PARENT,Sphingasine-dimethyl(d18:0),Sphingasine-dimethyl(d18:0),-1,2.032432,330.336,2592929,2755146,65452.53,46892.82,64424.89,46520,2278028,2465704,3356916,696541.6,6762234,3323655,1128699,1351272
,0,9,10, 286.3103,4.180239,0.8358246,C12 PARENT,Sphinganine-1-deoxy(m18:0),Sphinganine-1-deoxy(m18:0),-1,0.6395347,286.3103,36791.06,71645.29,6403.537,3812.746,1759.948,7950.58,80519.06,115190.9,23133.14,3270.089,40424.21,64174.31,55767.69,78983.23
,0,10,2, 833.6524,7.975977,0.8490909,C12 PARENT,SM(d18:1/26:5),SM(d18:1/26:5),-1,0.8053551,833.6524,3295.188,0,0,0,2051.666,0,33055.17,25514.98,6638.947,0,2302.972,6277.852,3130.777,0
,0,11,5, 835.6664,8.402813,0.8519475,C12 PARENT,SM(d18:1/26:4),SM(d18:1/26:4),-1,2.848462,835.6663,8493.508,16391.98,0,0,0,0,129344.1,132785.7,45968.57,3480.705,20716.14,29796.8,3272.226,0
,0,12,5, 837.6824,8.896031,0.8482803,C12 PARENT,SM(d18:1/26:3),SM(d18:1/26:3),-1,2.404438,837.6826,8416.702,13503.19,0,0,0,0,96344.25,91668.34,31903.45,1821.36,23300.97,22852.98,3574.326,0
,0,13,2, 807.636,7.980495,0.8477333,C12 PARENT,SM(d18:1/24:4),SM(d18:1/24:4),-1,1.738167,807.6358,0,0,0,0,0,0,31382.46,29102.79,6704.342,0,0,0,0,0
,0,14,9, 813.6846,8.399919,0.852348,C12 PARENT,SM(d18:1/24:1),SM(d18:1/24:1),-1,0.2250325,813.6846,73970.01,88483.1,0,0,0,0,585155.7,589671.8,208046.9,32484.08,101328,121786.5,41856.81,4378.048
,0,15,8, 785.6533,7.96093,0.8519152,C12 PARENT,SM(d18:1/22:1),SM(d18:1/22:1),-1,0.2330615,785.6533,21581.9,27370.06,0,0,0,0,139110.4,153124.4,50665.22,3394.319,30559.36,30097.85,14811.67,2288.035
,0,16,10, 787.6688,8.408015,0.8516086,C12 PARENT,SM(d18:1/22:0),SM(d18:1/22:0),-1,0.07748836,787.6688,83427.75,145727.5,0,0,0,0,862045,895276.4,308813.2,46489.1,104735.6,168281.6,52451.77,19393.75
,0,17,2, 757.6224,7.473904,0.8473982,C12 PARENT,SM(d18:1/20:1),SM(d18:1/20:1),-1,0.8056151,757.6224,0,0,0,0,0,0,44783,37078.57,2781.595,2885.96,0,0,0,0
,0,18,7, 759.6383,7.90936,0.8525869,C12 PARENT,SM(d18:1/20:0),SM(d18:1/20:0),-1,1.124868,759.6383,19948.79,40675.67,0,0,0,0,252515.2,230137.6,88012.01,9748.147,28637.21,48434.83,14447.85,2055.004
,0,19,9, 731.6056,7.37332,0.8521001,C12 PARENT,SM(d18:1/18:0),SM(d18:1/18:0),-1,0.7508363,731.6056,47239.89,50456.19,0,0,0,0,160979,179069.5,64482.96,6254.604,42543.46,53684.07,44163.25,20327.3
,0,20,10, 703.5751,6.80954,0.8537601,C12 PARENT,SM(d18:1/16:0),SM(d18:1/16:0),-1,0.4337503,703.5752,374830.7,440467.7,0,1976.627,0,0,1492454,1361010,554834.1,98924.3,430357,486391.2,277336,149933.8
,0,21,10, 815.7004,8.882339,0.8535614,C12 PARENT,SM (d18:1/24:0),SM (d18:1/24:0),-1,0.4489529,815.7004,62845.22,104236.9,0,2861.841,0,0,469298.8,399696.8,178580.2,29968.9,80712.6,107253.9,54780.19,23816.05
,0,22,12, 684.6492,10.20957,0.8504105,C12 PARENT,Phytosphingosine-OH(24:0),Phytosphingosine-OH(24:0),-1,1.158924,684.6494,1629031,1662712,14519.06,13331.35,20779.71,13853.17,2339294,2327749,1184257,353944.8,1648105,1569831,1817402,1957974
,0,23,2, 624.3945,1.367799,0.851482,C12 PARENT,Lactosyl Sphingosine (d18:1),Lactosyl Sphingosine (d18:1),-1,1.270761,624.3945,0,0,0,0,0,0,139184.8,123668.7,11794.17,0,0,0,0,0
,0,24,2, 462.3419,4.91882,0.8518463,C12 PARENT,Glucosyl/Galactosyl Sphingosine(d18:1),Glucosyl/Galactosyl Sphingosine(d18:1),-1,1.254122,462.3419,4556.774,2964.994,3102.553,1853.904,1879.797,1714.208,54205.18,137093.6,21059.67,2706.014,3850.229,6669.125,0,9014.063
,0,25,5, 490.3735,5.414979,0.8401015,C12 PARENT,Galactosyl Dimethyl Sphingosine(d18:1),Galactosyl Dimethyl Sphingosine(d18:1),-1,0.6845662,490.3736,32673.31,11205.47,4999.643,3418.668,4056.007,3135.828,435351.7,495102.1,124238,18165.1,32180.15,24859.06,25329.42,14583.65
,0,26,4, 812.5445,6.816835,0.8141255,C12 PARENT,PS(38:4),PS(38:4),-1,1.051626,812.5444,2256.713,3595.11,0,0,0,0,198858.6,293984.2,122670.6,3755.438,17504.28,26796.38,0,0
,0,27,5, 790.5597,7.297832,0.8509619,C12 PARENT,PS(36:1),PS(36:1),-1,0.5404353,790.5596,2997.972,11303.7,0,0,0,0,110648.4,121671.8,65492.68,0,7904.48,17505.48,0,0
,0,28,2, 778.5744,7.828556,0.8508009,C12 PARENT,PE(O-40:6),PE(O-40:6),-1,0.1567869,778.5744,0,0,0,0,0,0,60249.36,53809.88,0,0,0,2550.209,0,0
,0,29,5, 752.5599,7.80464,0.8508154,C12 PARENT,PE(O-38:5),PE(O-38:5),-1,1.37876,752.5599,23570.92,54966.58,0,0,0,2060.198,563395.8,419656.8,3008.344,0,47280.34,81417.52,0,0
,0,30,5, 724.5283,7.309735,0.8530621,C12 PARENT,PE(O-36:5),PE(O-36:5),-1,0.9266545,724.5283,17804.09,28441.53,0,0,0,0,278020.3,213097.1,4337.805,0,27433.44,45290.29,0,0
,0,31,4, 766.5358,7.082287,0.8508343,C12 PARENT,PE(38:5),PE(38:5),-1,3.025728,766.5358,7446.78,4883.544,0,0,0,0,61076.52,60023.55,36276.14,4955.683,14281.15,10810.16,0,0
,0,32,7, 768.5533,7.544613,0.8546922,C12 PARENT,PE(38:4),PE(38:4),-1,0.6353248,768.5532,34614.42,42889.23,0,0,0,0,692327.2,428195.8,283704.2,37584.93,77791.07,75446.54,3471.929,0
,0,33,11, 772.5865,7.253939,0.8524486,C12 PARENT,PE(38:2),PE(38:2),-1,1.896029,772.5865,80733.73,76388.02,31135.59,45755.11,65032.93,20542.84,259513.5,210639.2,176056.1,59389.01,72851.65,157948.9,74162.12,48121.04
,0,34,13, 774.6011,7.715138,0.8516823,C12 PARENT,PE(38:1),PE(38:1),-1,0.4727738,774.6011,68991.93,63203.19,30080.87,30992.06,29700.37,27849.44,180744,168380.5,67255.73,35628.5,66073.65,85197.23,55883.78,19317.1
,0,35,3, 740.5218,7.02528,0.8507495,C12 PARENT,PE(36:4),PE(36:4),-1,0.9066392,740.5219,0,0,0,0,0,0,67912.71,32251.42,36230.54,0,7580.889,4579.791,0,0
,0,36,2, 742.5375,7.182788,0.8371526,C12 PARENT,PE(36:3),PE(36:3),-1,0.9041781,742.5373,7156.181,4604.632,0,0,0,0,26219.58,23877.26,9965.903,0,3102.613,10369.45,0,0
,0,37,2, 720.5532,7.110713,0.849668,C12 PARENT,PE(34:0),PE(34:0),-1,0.7623531,720.5531,0,2591.495,0,0,0,0,34175.16,39089.78,3535.228,1805.939,2572.69,3971.772,10295.32,0
,0,38,2, 830.5697,6.435503,0.8490783,C12 PARENT,PC(40:8),PC(40:8),-1,0.2939436,830.5698,0,0,0,0,0,0,40513.64,50187.03,6258.961,0,2610.611,3283.408,0,0
,0,39,7, 832.5826,7.450061,0.8524171,C12 PARENT,PC(40:7),PC(40:7),-1,3.005628,832.5832,27656.38,3614.688,0,0,0,0,137913.5,124560,47978,0,26571.93,28864.17,16141.71,10581.62
,0,40,6, 834.6008,7.317019,0.8476615,C12 PARENT,PC(40:6),PC(40:6),-1,0.07313097,834.6008,29789.4,10550.94,0,0,0,0,67172.1,77525.57,29453.88,0,27657.05,41207.56,10978.44,7898.756
,0,41,9, 836.6165,7.513657,0.8525434,C12 PARENT,PC(40:5),PC(40:5),-1,0.07295477,836.6165,60570.22,35656.56,0,2193.684,0,2689.496,223814.3,241640.9,52188.55,3887.407,57385.97,93741.38,69596.16,62433.34
,0,42,6, 806.5693,6.765656,0.8498031,C12 PARENT,PC(38:6),PC(38:6),-1,0.2270176,806.5693,118466.1,20597.43,0,0,0,0,204357.2,189116.6,68211.86,3021.865,65150.69,84411.93,0,0
,0,43,9, 808.5854,6.980697,0.8516353,C12 PARENT,PC(38:5),PC(38:5),-1,0.4529034,808.5854,92211.01,40784.89,0,0,0,0,341199.3,360523.6,118847.7,7435.633,96096.02,112237.8,20379.71,23867.32
,0,44,10, 810.5998,7.477952,0.8520885,C12 PARENT,PC(38:4),PC(38:4),-1,1.129443,810.5997,437370.1,262624.1,0,0,0,0,1964384,1704131,494523.2,64770.41,457351.1,604696.8,213526.3,219347.5
,0,45,10, 812.6157,7.690802,0.8529704,C12 PARENT,PC(38:3),PC(38:3),-1,0.9013132,812.6157,267633.2,150621.9,0,0,0,0,426120.2,435208.1,177769.8,25250.29,236793.2,287267,236991.4,171721.4
,0,46,14, 814.6338,8.083776,0.8519763,C12 PARENT,PC(38:2),PC(38:2),-1,2.172784,814.6339,62198,40753.93,35173.82,23278.67,43818.94,39728,157285.3,141653.6,89994.88,29087.06,61755.61,66440.16,38348.79,46812.93
,0,47,4, 816.6475,8.442343,0.8513713,C12 PARENT,PC(38:1),PC(38:1),-1,0.224216,816.6475,2650.043,3311.543,0,0,0,0,92666.49,89251.57,39649.94,0,7143.142,24180.18,0,0
,0,48,9, 780.5513,7.040176,0.8517463,C12 PARENT,PC(36:5),PC(36:5),-1,3.205982,780.5513,158051.9,89704.81,0,0,0,0,278248.8,296147.8,107895.5,7267.301,118208.5,147269.3,31539.69,16689.15
,0,49,9, 782.5677,6.922671,0.8524231,C12 PARENT,PC(36:4),PC(36:4),-1,2.183812,782.5677,450811.2,183977.2,0,0,0,0,1181724,1328132,477318.7,67018.04,404479,498555.5,51009.89,11934.83
,0,50,10, 784.5842,7.13557,0.8546246,C12 PARENT,PC(36:3),PC(36:3),-1,1.089101,784.5842,373485.5,193154,0,0,0,1904.517,754884.4,731013.9,290294.7,37567.7,310257.5,371925.5,138723.3,93314.35
,0,51,13, 786.6022,7.539802,0.8535083,C12 PARENT,PC(36:2),PC(36:2),-1,1.862246,786.6022,1557027,1048656,64922.89,47292.64,30940.62,60616,3482516,3005581,1137173,182270,1384344,1613757,725161.3,789253.8
,0,52,14, 788.6159,7.963206,0.8535063,C12 PARENT,PC(36:1),PC(36:1),-1,0.6191619,788.6159,551526.2,589872.7,30727.37,36268.77,32517.7,32507.51,2387328,2422304,863905.2,117586.8,553582.2,710864.5,409729.1,271330.4
,0,53,4, 790.6304,8.433344,0.8514602,C12 PARENT,PC(36:0),PC(36:0),-1,2.084344,790.6304,6903.07,11797.22,0,0,0,0,125728.7,116466.6,37160.02,6545.687,11535.71,15571.14,0,0
,0,54,5, 756.5515,7.402029,0.8492046,C12 PARENT,PC(34:3),PC(34:3),-1,3.065659,756.5516,2574.282,10502.33,0,0,0,0,80858.47,76704.02,33199.36,3407.646,7604.174,9450.043,0,0
,0,55,12, 758.5699,7.033266,0.8394685,C12 PARENT,PC(34:2),PC(34:2),-1,0.563226,758.5698,1774023,1064393,9403.12,11190.94,8525.035,8208.825,3174174,3380547,1355587,177775.1,1426877,1594807,398659.8,262029
,0,56,13, 760.5849,7.475199,0.8526562,C12 PARENT,PC(34:1),PC(34:1),-1,0.2407429,760.5849,853120.1,1031382,23943.47,26794.84,34000.83,9897.695,5325241,4564306,1514165,265089,1042453,1336821,396135.4,390201.8
,0,57,9, 762.5994,7.92452,0.8536,C12 PARENT,PC(34:0),PC(34:0),-1,1.760782,762.5994,41299.89,79965.66,0,0,0,2526.153,538623.8,510647.5,173280.6,31343.54,64783.83,100889.5,21185.82,6217.426
,0,58,10, 732.5535,6.906205,0.8517249,C12 PARENT,PC(32:1),PC(32:1),-1,0.3332733,732.5533,44778.32,37216.38,2675.57,5696.452,2337.223,2699.207,125090,124939.4,48754.46,12484.6,39115.14,47336.23,21385.54,16031.88
,0,59,10, 734.5685,7.406364,0.8524265,C12 PARENT,PC(32:0),PC(32:0),-1,1.246346,734.5685,123999.9,206379.7,3291.341,0,2188.283,0,1017684,1032138,350240.2,70117.48,164408.4,205662.8,49240.78,18074.45
,0,60,2, 718.5742,7.713827,0.8470912,C12 PARENT,LPC(32:1),LPC(32:1),-1,0.4246961,718.574,5494.856,4115.975,0,0,0,0,19576.03,15398.72,0,0,2357.689,0,0,0
,0,61,6, 720.5886,7.810202,0.8507085,C12 PARENT,LPC(32:0),LPC(32:0),-1,2.117541,720.5886,15618.5,15760.98,0,0,0,0,63212.11,67127.57,25891.26,5398.968,11697.18,6221.523,1994.44,0
,0,62,9, 666.6176,11.77331,0.8516113,C12 PARENT,CE_NH4(18:2),CE_NH4(18:2),-1,1.098712,666.6176,172734.8,170037.2,0,0,0,0,196012.8,249507.6,90119.13,16303.13,115811.2,151545.2,74531.32,81649.38
,0,63,7, 799.639,10.88398,0.851494,C12 PARENT,CE_Na(28:8),CE_Na(28:8),-1,3.35846,799.6391,42271.27,69955.56,0,0,0,0,105737,83265.48,35826.05,14086.38,67031.21,62328.78,76636.4,42627.78
,0,64,8, 671.5737,11.7681,0.8517303,C12 PARENT,CE_Na(18:2),CE_Na(18:2),-1,0,671.5737,78839.57,90071.05,0,0,0,0,114884.8,113509.2,55724.78,8060.697,64110.89,68705.45,34189.39,57352.56
,0,65,9, 982.8796,11.36928,0.8507062,C12 PARENT,TG_NH4(60:5),TG_NH4(60:5),-1,0.1241966,982.8796,192675.6,162977.3,0,3090.567,2382.547,0,249522.1,266094.6,106710.9,41641.24,147446.3,158834.6,7907.864,15593.7
,0,66,8, 984.8958,11.72925,0.8521993,C12 PARENT,TG_NH4(60:4),TG_NH4(60:4),-1,0.3718272,984.8955,389302.3,354759.7,7441.286,4033.134,0,0,400786.1,448127.5,204684.9,79552.16,254361.5,300507.1,9888.025,21582.42
,0,67,10, 986.9112,12.0906,0.8521664,C12 PARENT,TG_NH4(60:3),TG_NH4(60:3),-1,0.1855339,986.9111,595394.7,511178.8,6747.638,4083.836,4883.987,11873.72,668897.7,690112.3,371680.3,129194.7,468159.8,476089.3,54673.88,84012.55
,0,68,9, 988.9266,12.46859,0.8517348,C12 PARENT,TG_NH4(60:2),TG_NH4(60:2),-1,0.06171858,988.9266,384183.6,370744.3,0,0,0,0,454411.6,458926.1,216682.6,84992.76,341573.8,349748,22244.26,16670.39
,0,69,10, 990.9426,12.83635,0.8520385,C12 PARENT,TG_NH4(60:1),TG_NH4(60:1),-1,0.2463722,990.9426,183618.4,161152.2,0,0,0,0,194198,252596.7,110570.2,67879.77,171961.5,146124.3,94865.91,101220.3
,0,70,7, 946.7886,11.07161,0.8510438,C12 PARENT,TG_NH4(58:9),TG_NH4(58:9),-1,2.900954,946.7888,56567.64,52460.57,0,0,0,0,53215.5,75706.6,27483.09,17151.39,51332.08,52146.49,25810.93,7624.867
,0,71,4, 948.8051,11.42611,0.8501251,C12 PARENT,TG_NH4(58:8),TG_NH4(58:8),-1,3.795393,948.8052,66952.74,85440.32,0,0,0,6202.736,86667.7,120024,37967.87,10359.55,52389.71,57414.74,0,10370.06
,0,72,7, 950.815,11.82614,0.8511801,C12 PARENT,TG_NH4(58:7),TG_NH4(58:7),-1,2.246731,950.8151,84273.09,57936.54,2695.872,0,0,0,91949.69,99942.24,50178.11,8976.794,63194.69,61553.53,0,0
,0,73,4, 952.8325,11.9733,0.8480589,C12 PARENT,TG_NH4(58:6),TG_NH4(58:6),-1,0.3202826,952.8328,19806.44,19099.86,0,0,0,0,37420.78,36498.32,9602,0,21250.45,18429.94,0,0
,0,74,5, 954.8483,10.98589,0.8501761,C12 PARENT,TG_NH4(58:5),TG_NH4(58:5),-1,0.1278426,954.8484,30725.07,26892.61,0,0,0,0,43482.23,33791.8,18595.19,0,21761.7,26080.54,0,0
,0,75,8, 956.864,11.34188,0.8506847,C12 PARENT,TG_NH4(58:4),TG_NH4(58:4),-1,0.1275733,956.8638,192498.1,177073.9,2680.679,2347.923,0,0,279447.5,265156,134644.5,38763,125283.1,171533.7,3245.314,10415.42
,0,76,10, 958.8799,11.69947,0.8502272,C12 PARENT,TG_NH4(58:3),TG_NH4(58:3),-1,0.1909577,958.8797,654579.4,587206.3,0,4244.261,0,2499.372,874401.3,833600.5,394739.1,117312.4,494824.5,458290.9,18603.04,25992.63
,0,77,10, 960.895,12.06676,0.8531956,C12 PARENT,TG_NH4(58:2),TG_NH4(58:2),-1,0.4446333,960.895,987677.8,901778.1,10216.44,11922.96,3426.469,6069.494,1279594,1358510,625840.3,207041,846789.3,704018.2,35615.63,42935.59
,0,78,10, 962.9109,12.44184,0.8528003,C12 PARENT,TG_NH4(58:1),TG_NH4(58:1),-1,0.1267722,962.9109,530840.8,483000.2,0,3623.998,0,0,631763.4,572161.9,304168.4,107884.6,454359.7,436854.7,49821,65334.52
,0,79,6, 922.7861,11.35181,0.838338,C12 PARENT,TG_NH4(56:7),TG_NH4(56:7),-1,0.3307114,922.786,167399.8,0,0,0,0,0,207291.5,205578.9,92904.02,16323.52,0,123353.7,0,0
