label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,note,compound,compoundId,expectedRtDiff,ppmDiff,parent,20180316_buffer_pellet_b_neg,20180316_blank_mid_a_neg,20180316_blank_mid_b_neg,20180316_blank_pre_a_neg,20180316_non_pellet_a_neg,20180316_non_pellet_a_neg_repeat,20180316_non_pellet_b_neg_1_4_dil,20180316_non_pellet_b_neg,20180316_activated_pellet_a_neg,20180316_activated_pellet_b_neg,20180316_hsd2_pellet_b_neg,20180316_hsd2_pellet_a_neg,20180316_hsd1_pellet_a_neg,20180316_hsd1_pellet_b_neg,20180316_buffer_pellet_a_neg
,0,1,4,883.5374,6.173409,0.8026704,C12 PARENT,PI(38:5),PI(38:5),-1,3.661277,883.5374,0,0,0,0,4742.717,10470.25,0,3957.451,11129.84,1242.849,10456.27,5377.293,12458.46,18886.82,0
,0,2,9,885.5535,6.523953,0.8522288,C12 PARENT,PI(38:4),PI(38:4),-1,4.135407,885.5536,1315.182,0,0,0,191179.4,185839,48638.93,199489.5,224373.9,152588,349199.7,249392.9,0,390614.7,844.6455
,0,3,5,835.5327,7.444601,0.8347828,C12 PARENT,PI(34:1),PI(34:1),-1,1.826232,835.5326,0,0,0,0,5468.045,9073.754,0,12521.9,6644.479,5060.666,8785.926,7253.17,8380.731,10682.59,0
,0,4,1,991.7166,8.057985,0.7608058,C12 PARENT,PA(58:10),PA(58:10),-1,0.4308149,991.7169,0,0,0,0,8404.082,4192.329,0,7108.164,4856.457,1548.812,6616.841,2173.023,5141.196,6776.291,0
,0,5,9,834.5294,7.445032,0.8491861,C12 PARENT,PS(40:6),PS(40:6),-1,2407.79,834.5294,0,0,0,0,15011.42,11710.4,2025.595,25620.34,13926.61,9527.397,20442.14,19003.54,20620.3,25067.91,0
,0,6,10,810.532,6.762402,0.8435047,C12 PARENT,PS(38:4),PS(38:4),-1,2475.753,810.532,0,0,0,0,40578.53,40847.36,17248.22,78011.76,67086.3,51095.21,109949.1,83190.96,90123.66,125154.4,0
,0,7,4,778.5788,8.080017,0.8287885,C12 PARENT,PE(O-40:5),PE(O-40:5),-1,2576.708,778.5788,0,0,0,0,11957.92,16397.3,7621.025,29852.12,19024.43,7659.791,52940.01,15817.41,6167.774,18260.65,0
,0,8,4,748.5318,7.248261,0.8302439,C12 PARENT,PE(O-38:6),PE(O-38:6),-1,2679.944,748.5319,0,0,0,0,0,7102.709,6225.077,26167.65,7594.098,15151.91,12849.63,0,0,12358.79,0
,0,9,6,750.5474,7.706572,0.8504034,C12 PARENT,PE(O-38:5),PE(O-38:5),-1,2672.847,750.5475,0,0,0,0,0,71856.97,33484.72,35109.67,0,54278.8,167311.6,0,0,82288.53,0
,0,10,10,722.5156,7.212186,0.8506597,C12 PARENT,PE(O-36:5),PE(O-36:5),-1,2776.931,722.5156,0,0,0,0,36682.88,40291.64,18510.94,69789.15,66513.01,45129.77,71193.79,70070.06,47870.94,66472.39,0
,0,11,7,792.5577,7.453613,0.8440871,C12 PARENT,PE(40:5),PE(40:5),-1,2531.835,792.5577,0,0,0,0,4207.227,11152.72,1994.699,20065.45,10416.3,8880.145,20868.84,13688.67,5433.663,20956.91,0
,0,12,7,794.5737,7.80418,0.84987,C12 PARENT,PE(40:4),PE(40:4),-1,2525.045,794.5737,0,0,0,0,14102.98,13428.6,3187.244,30386.04,11675.65,6349.887,16751.7,4793.65,7161.426,21750.19,0
,0,13,6,764.5268,6.96961,0.8492376,C12 PARENT,PE(38:5),PE(38:5),-1,2623.943,764.5267,0,0,0,0,7336.348,20206.19,2793.2,11299.53,14621.47,8342.883,31755.22,12485.33,20764.45,25179.52,0
,0,14,7,766.5425,7.445212,0.8517604,C12 PARENT,PE(38:4),PE(38:4),-1,2616.903,766.5427,0,0,0,0,0,220483.3,96603.99,418353.8,0,224712.6,427566.3,131697.3,0,434938.7,0
,0,15,10,738.5103,6.914413,0.8502507,C12 PARENT,PE(36:4),PE(36:4),-1,2717.198,738.5103,0,0,0,0,25854.05,29402.13,10810.64,42307.44,29172.68,23407.33,39140.82,40634.19,36429.18,51018.66,0
,0,16,10,742.5416,7.508634,0.8485754,C12 PARENT,PE(36:2),PE(36:2),-1,2702.568,742.5416,0,0,0,1868.622,16853.37,19886.72,8932.977,33412.89,19409.67,15046.9,35547.24,25566.43,25945.72,31224.81,0
,0,17,7,744.5573,7.912832,0.8474061,C12 PARENT,PE(36:1),PE(36:1),-1,2695.271,744.5571,0,0,0,0,4906.494,5785.361,1163.409,14273.86,8349.802,5631.484,12085.12,10097.17,10614.43,16109.35,0
,0,18,7,716.5259,7.419109,0.8425004,C12 PARENT,PE(34:1),PE(34:1),-1,2800.418,716.5259,0,0,754.8306,0,8574.249,7739.783,3024.88,12165.51,7982.037,4922.977,11548.18,9385.801,10184.51,9751.992,0
,0,19,8,778.5425,6.970927,0.8498957,C12 PARENT,PC(36:5),PC(36:5),-1,2576.75,778.5425,0,0,0,0,26031.27,41593.3,3552.65,39189.18,42650.52,43655.32,66255.79,50964.42,15601.78,37287.45,0
,0,20,0,526.2943,1.452446,0.3216375,C12 PARENT,LPE(22:5),LPE(22:5),-1,3812.585,526.2943,0,0,0,0,26179.17,47344.38,7202.595,17254.24,15079.08,8317.786,30069.63,50669.09,34926.94,45819.71,0
,0,21,9,500.2785,1.449326,0.8540139,C12 PARENT,LPE(20:4),LPE(20:4),-1,4010.236,500.2785,0,0,0,0,218389.4,242933,65360.47,131266.6,139774.6,119624.9,280397.7,318020.2,295164.8,490558.2,0
,0,22,4,692.6223,9.018671,0.8491756,C12 PARENT,DG_NH4(40:2),DG_NH4(40:2),-1,2896.61,692.6223,0,0,0,0,7774.23,17479.37,1516.12,8264.167,3567.207,4754.645,25514.83,11134.68,13828.93,28528.38,1051.079
,0,23,6,694.6382,9.498121,0.8497112,C12 PARENT,DG_NH4(40:1),DG_NH4(40:1),-1,2887.879,694.6382,0,0,0,0,17322.82,24380.28,3503.044,27816.68,13933.14,17136.86,30850.62,32323.38,17640.57,38675.29,0
,0,24,5,696.6536,9.680763,0.8491165,C12 PARENT,DG_NH4(40:0),DG_NH4(40:0),-1,2879.984,696.6535,0,0,0,0,5350.072,18743.28,2409.5,16869.67,12704.81,8163.134,23410.5,14231.98,17861.82,21708.39,1051.106
,0,25,9,666.6058,9.046244,0.8498307,C12 PARENT,DG_NH4(38:1),DG_NH4(38:1),-1,3010.594,666.6058,0,0,0,0,32677.97,33183.89,7694.829,35451.79,30418.49,17567,49719.39,32156.3,40701.76,49042.37,0
,0,26,8,668.6214,9.222989,0.8460016,C12 PARENT,DG_NH4(38:0),DG_NH4(38:0),-1,3001.636,668.6213,0,0,0,0,9740.124,14104.41,1159.947,16478.2,16166,7947.051,20985.32,15577.42,16189.01,21239.17,0
,0,27,5,638.5745,8.572943,0.8483691,C12 PARENT,DG_NH4(36:1),DG_NH4(36:1),-1,3142.333,638.5745,0,0,0,0,8922.382,11365.66,1098.403,12404.04,14070.08,10033.04,18869.17,9231.669,14406.23,19048.96,0
,0,28,3,582.511,7.560963,0.8464754,C12 PARENT,DG_NH4(32:1),DG_NH4(32:1),-1,3445.286,582.511,0,0,0,0,9260.058,13029.93,775.6313,12163.78,9528.652,6036.584,19199.89,11312.48,13792.89,18709.21,0
